player,weight,type,catchtype,bot,date,record
niiy,273.90,🐳,normal,supibot,2023-06-1 15:55:18,old
miiiiisho,288.27,🦈,normal,gofishgame,2024-02-1 22:00:13,old
leanmeister,236.75,🦕,normal,supibot,2023-09-11 20:06:29,old
fishingalt,297.27,🐳,normal,gofishgame,2023-12-27 08:06:07,old
mochi_uygqzidbjizjkbehuiw,222.73,🐳,normal,gofishgame,2024-01-7 13:54:46,old
derinturitierutz,301.87,🐳,normal,gofishgame,2023-11-22 19:42:11,old
breadworms,282.85,🐳,normal,gofishgame,2023-09-26 01:07:47,old
yliathim,266.12,🐉,normal,supibot,2022-12-15 17:10:45,old
sussy_amonge,278.70,🐉,normal,supibot,2023-08-19 07:18:50,old
bussinongnocap,251.35,🐢,normal,supibot,2023-06-17 05:29:50,old
osnyatsky,302.88,🐳,normal,gofishgame,2023-11-18 02:05:57,old
ryebreadward,270.32,🐉,normal,gofishgame,2023-12-19 15:06:59,old
veggesh,206.22,🦈,normal,gofishgame,2024-02-25 22:40:19,old
notparasfishalt,207.18,🐉,normal,supibot,2023-06-5 03:16:42,old
kadaris4h,251.33,🦕,normal,supibot,2022-12-8 11:30:12,old
crazytown_bananapants,270.42,🦈,normal,gofishgame,2023-12-28 02:55:00,old
doublehelicalstructure,235.33,🦕,normal,supibot,2023-02-7 14:43:35,old
qu4ttromila,303.81,🐳,normal,supibot,2023-03-17 23:18:19,old
puzzlow,292.04,🐳,normal,gofishgame,2023-12-8 05:04:14,old
jr_mime,282.46,🦑,normal,gofishgame,2023-12-25 15:56:15,old
julialuxel,234.00,🐳,normal,gofishgame,2024-02-17 03:13:44,old
comiqq,264.84,🦕,normal,gofishgame,2024-02-24 20:57:13,old
dayzedinndaydreams,307.60,🦑,normal,gofishgame,2023-12-31 16:04:05,old
xz_xz,269.03,🐳,normal,supibot,2023-02-24 01:04:39,old
ninjaross,273.17,🦑,normal,supibot,2022-12-23 23:06:53,old
trident1011,264.95,🦕,normal,supibot,2023-04-6 04:52:56,old
islcfc,296.57,🐳,normal,supibot,2023-02-25 05:52:30,old
wispmode,230.99,🐳,normal,gofishgame,2024-01-2 16:58:48,old
kaasppeerr,241.66,🦕,normal,gofishgame,2024-01-30 00:42:05,old
fallen_angels_1995,219.76,🐳,normal,gofishgame,2024-02-24 12:26:34,old
booty_bread,273.82,🐉,normal,supibot,2023-03-14 22:01:12,old
kishma9,297.37,🐳,normal,supibot,2023-06-1 11:12:39,old
sicklymaidrobot,306.97,🦑,normal,gofishgame,2023-12-28 00:11:01,old
lazzvli,215.97,🦈,normal,supibot,2023-07-9 23:11:02,old
5c33,281.63,🐉,normal,supibot,2023-02-15 13:14:09,old
supibot,231.47,🦕,normal,gofishgame,2023-12-30 02:14:20,old
xth49,254.75,🦕,normal,supibot,2022-12-28 08:48:40,old
paras220,287.47,🐳,normal,supibot,2023-09-8 03:21:48,old
realtechnine,214.11,🦕,normal,supibot,2023-02-14 20:12:23,old
xxx_r0ze_xxx,292.12,🐳,normal,gofishgame,2024-01-31 23:33:25,old
comiqq,288.19,🐳,normal,gofishgame,2024-03-24 15:49:44,updated
ryebreadward,287.28,🐳,normal,gofishgame,2024-03-27 09:33:32,updated
xxx_r0ze_xxx,298.10,🐳,jumped,gofishgame,2024-03-28 01:33:53,updated
bapqo,233.48,🐉,normal,gofishgame,2024-03-10 18:29:29,new
